Time Period,Page,Title,Visits,Views,Average Time Viewed (seconds)
Aug-15,http://www.nyc.gov/html/fdny/html/units/recruitment/cand_prep/introduction.shtml,FDNY Recruitment - FDNY Firefighter Candidate Preparation,1178,1644,64.569999999999993
Aug-15,http://www1.nyc.gov/nyc-resources/service/1355/central-park,Central Park | City of New York,1176,1285,98.37
Aug-15,http://home2.nyc.gov/html/dcas/html/home/home.shtml,NYC Department of Citywide Administrative Services,1176,1597,52.91
Aug-15,http://www1.nyc.gov/assets/finance/jump/hlptrancode.html,Transaction Type Description,1175,1517,368.24
Aug-15,http://www.nyc.gov/html/dcp/html/housing/mandatory-inclusionary-housing-summary.shtml,Housing: Mandatory Inclusionary Housing- Department of City Planning,1174,1428,237.46
Aug-15,http://www.nyc.gov/html/opa/html/transportation_benefits/commuter-benefit-program-overview.shtml,Office of Payroll Administration,1172,1406,226.27
Aug-15,http://www.nyc.gov/html/dot/html/about/doing-business.shtml,NYC DOT - Doing Business with DOT,1170,1680,108.86
Aug-15,http://www.nyc.gov/html/doh/wtc/html/registry/registry.shtml,9/11 Health - WTC Health Registry,1169,2216,51.65
Aug-15,http://www.nyc.gov/html/dcp/html/luproc/calbeg.shtml,Commission Calendar - New York City Department of City Planning,1168,1774,153.4
Aug-15,http://www.nyc.gov/html/ddc/html/projects/proj_nycitymap.shtml,Projects on NYCityMap - Department of Design and Construction,1167,1577,139.47
Aug-15,http://www.nyc.gov/html/omb/html/career/career.shtml,Career Opportunities - NYC Office of Management & Budget,1163,2231,138.26
Aug-15,http://www.nyc.gov/html/tlc/html/industry/functions_other.shtml,NYC Taxi & Limousine Commission - Other,1160,1633,54.32
Aug-15,http://www.nyc.gov/html/dep/html/about_dep/inside_dep_index.shtml,Inside DEP,1160,1535,40.81
Aug-15,http://www.nyc.gov/html/sbs/html/business/business.shtml,SBS - Help for Businesses,1159,1459,58.15
Aug-15,http://www.nyc.gov/html/fdny/html/units/fire_prevention/faiu.shtml,FDNY Bureau of Fire Prevention - FIRE ALARM INSPECTION UNIT (FAIU),1159,2112,108.54
Aug-15,http://www.nyc.gov/html/bsa/html/hearing/hearing.shtml,Board of Standards and Appeals,1158,2002,161.36000000000001
Aug-15,http://www1.nyc.gov/site/hra/help/ada.page,HRA - Disability Access,1158,1458,74.81
Aug-15,http://www.nyc.gov/html/weareny/html/home/home.shtml,We Are New York,1157,1854,54.75
Aug-15,http://www.nyc.gov/html/dot/html/infrastructure/williamsburg-bridge.shtml,NYC DOT - Williamsburg Bridge,1156,1330,103.87
Aug-15,http://www.nyc.gov/html/dot/html/pedestrians/streetdesignmanual.shtml,NYC DOT - Street Design Manual,1156,1615,197.75
Aug-15,http://www1.nyc.gov/site/hra/about/frequently-asked-questions-faq.page,HRA - Frequently Asked Questions (FAQ),1156,1498,71.38
Aug-15,http://www.nyc.gov/html/opa/html/getting_paid/statement_explained.shtml,Office of Payroll Administration,1155,1409,113.33
Aug-15,http://www.nyc.gov/html/oem/html/hazards/storms_evaczones.shtml,NYC Hazards: Hurricane Evacuation Zones,1154,1539,114.18
Aug-15,http://www.nyc.gov/html/olr/html/faqs/health_benefits.shtml,Office of Labor Relations,1153,1566,106.73
Aug-15,http://www.nyc.gov/html/hia/html/home/home_fpbp.shtml,Office of Citywide Health Insurance Access,1152,1246,156.87
Aug-15,http://www1.nyc.gov/nyc-resources/faq/330/how-do-i-apply-for-a-job-as-a-school-safety-agent,How do I apply for a job as a school safety agent? | City of New York,1149,1885,29.56
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_071.shtml,NYPD - Precincts,1149,1318,103.17
Aug-15,http://www1.nyc.gov/site/finance/taxes/property-forms/property-forms-assessments-and-valuations.page,Assessment and Valuation Forms,1149,1372,25.62
Aug-15,http://www.nyc.gov/html/fdny/html/c_of_f/cof_fees.shtml,FDNY C of F Fees,1148,1834,106.64
Aug-15,http://www.nyc.gov/html/film/html/permits/step2.shtml,"Made in NY - Mayor's Office of Film, Theatre & Broadcasting - About",1147,1363,184.31
Aug-15,http://www1.nyc.gov/nycbusiness/description/mobile-food-vending-license/apply,"Business | City of New York, Mobile Food Vending License,Food Vendor, Mobile Food Vendor, Street Vendor (Food), license",1146,1840,121.55
Aug-15,http://www1.nyc.gov/nyc-resources/service/3148/water-and-sewer-bill,Water and Sewer Bill | City of New York,1146,1497,73.37
Aug-15,http://www.nyc.gov/html/dep/html/businesses/pact_bid_results.shtml,Current Bid Results,1144,1731,84.99
Aug-15,http://www1.nyc.gov/booker/service/nyc-resources/service/3082/citypay,311 Booker: CityPay,1143,1247,128.16
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_103.shtml,NYPD - Precincts,1143,1341,112.87
Aug-15,http://www1.nyc.gov/nyc-resources/service/2424/senior-citizen-rent-increase-exemption-scrie,Senior Citizen Rent Increase Exemption (SCRIE) | City of New York,1142,1418,92.37
Aug-15,http://www.nyc.gov/html/nypd/html/property_clerk/property_offices.shtml,NYPD - Property Clerk,1141,1329,198.55
Aug-15,http://www1.nyc.gov/site/dsny/recycling-and-garbage/residents/donations-and-reuse-for-residents.page,DSNY - Donations & Reuse for Residents,1140,1390,48.83
Aug-15,http://www1.nyc.gov/site/finance/taxes/corporate-tax-reform.page,NYC Corporate Tax Reform,1139,1363,138.18
Aug-15,http://www.nyc.gov/html/doh/wtc/html/health_compensation/health_compensation_act.shtml,James L. Zadroga 9/11 Health & Compensation Act,1139,1381,179.77
Aug-15,http://www.nyc.gov/html/sbs/wf1/html/register/help.shtml,Assistance with Registering to Become a Member,1138,1373,242.41
Aug-15,http://www1.nyc.gov/site/finance/about/contact-by-email/contact-property-refunds.page,Contact Us - Property Refunds,1137,1668,14.9
Aug-15,http://www.nyc.gov/html/film/html/contact/contact.shtml,"Made in NY - Mayor's Office of Film, Theatre & Broadcasting - About",1137,1392,140.44999999999999
Aug-15,http://www.nyc.gov/html/doi/html/marshals/marshals.shtml,Marshals - Department of Investigation,1137,1625,53.36
Aug-15,http://www1.nyc.gov/site/dca/businesses/live-chat.page,DCA - Businesses - Live Chat,1136,1467,193.7
Aug-15,http://www.nyc.gov/html/dof/html/contact/phone.shtml,Finance - Contact Finance - Telephone Numbers,1134,1723,99.57
Aug-15,http://www.nyc.gov/html/doi/html/marshals/mar4.shtml,NYC Marshals Handbook - Chapter4: Evictions and Legal Possessions - Department of Investigation,1131,1304,292.22000000000003
Aug-15,http://www.nyc.gov/html/nypd/html/community_affairs/community_participation_programs.shtml,NYPD - Community Affairs,1131,1296,160.33000000000001
Aug-15,http://www1.nyc.gov/booker/service/nyc-resources/service/1203/noise-from-street-or-sidewalk,311 Booker: Noise from Street or Sidewalk,1131,1358,17.16
Aug-15,http://www1.nyc.gov/nyc-resources/service/2182/parking-permit,Parking Permit | City of New York,1130,1679,72.680000000000007
Aug-15,http://www1.nyc.gov/nyc-resources/faq/377/how-do-i-get-a-copy-of-a-police-report,How do I get a copy of a police report? | City of New York,1128,1507,124.78
Aug-15,http://www1.nyc.gov/office-of-the-mayor/news/121-14/new-york-city-s-paid-sick-leave-law-goes-effect-city-launches-public-education-outreach,New York City's Paid Sick Leave Law Goes Into Effect | City of New York,1127,1257,121.77
Aug-15,http://www.nyc.gov/html/acs/html/staff/staff_resources.shtml,Resources for Staff: Preventive Services,1127,1440,72.92
Aug-15,http://www.nyc.gov/html/oath/html/about/about.shtml,OATH - About OATH,1127,1496,45.59
Aug-15,http://www.nyc.gov/html/dob/html/safety/ecb_hearings_penalties.shtml,Department of Buildings,1127,1872,78.41
Aug-15,http://www1.nyc.gov/site/hpd/owners/homeowner-mortgage-servicing.page,HPD - Owners - Homeowner - Mortgage Servicing,1126,1523,55.47
Aug-15,http://www.nyc.gov/html/dot/html/motorist/sizewt.shtml,NYC DOT - Motorists & Parking - Size and Weight Restrictions,1126,1411,124.1
Aug-15,http://www1.nyc.gov/nycbusiness/status,,1125,1598,84.45
Aug-15,http://www1.nyc.gov/site/nycha/about/expanding-preserving-public-housing.page,NYCHA - Expanding Preserving Public Housing,1125,1679,55.97
Aug-15,http://www.nyc.gov/html/lpc/html/permit/permit.shtml,LPC - Apply for a Permit,1125,1524,76.510000000000005
Aug-15,http://www.nyc.gov/html/tlc/html/industry/medallion_main.shtml,NYC Taxi & Limousine Commission - Medallion Owners & Agents,1124,1533,67.39
Aug-15,http://www.nyc.gov/html/doh/html/living/prep.shtml,Pre-Exposure Prophylaxis (PrEP),1124,1332,111.85
Aug-15,http://www.nyc.gov/html/dcp/html/parking/pidpindex.shtml,Parking Facilities in New York City - New York City Department of City Planning,1124,1412,160.38999999999999
Aug-15,http://www.nyc.gov/html/fdny/html/community/emt_medic_faq.shtml,FDNY EMT and Paramedic FAQ's,1123,1316,199.39
Aug-15,http://www.nyc.gov/html/dot/html/infrastructure/custom-signs.shtml,NYC DOT - Sign Sales,1123,1532,97.22
Aug-15,http://www.nyc.gov/html/doh/html/food/food-service.shtml,Food Service Operators & Owners,1118,1753,57.84
Aug-15,http://www.nyc.gov/html/dep/html/customer_managers/index.shtml,Property Management and Trade Professionals,1118,1648,107.32
Aug-15,http://www.nyc.gov/html/doc/html/inmate-information/write-inmate.shtml,City of New York Department of Correction,1118,1511,46.98
Aug-15,http://www1.nyc.gov/account/user/profile.htm,Account Profile | NYC Identity Management,1116,2383,82.26
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_041.shtml,NYPD - Precincts,1115,1316,89.92
Aug-15,http://www.nyc.gov/html/dep/html/recreation/recreation_rules.shtml,Recreation Rules & Access Permits,1115,1768,90.98
Aug-15,http://www.nyc.gov/html/film/html/production_resources/production_resources.shtml,"Made in NY - Mayor's Office of Film, Theatre & Broadcasting - About",1115,1486,39.18
Aug-15,http://www.nyc.gov/html/dcp/html/bytes/dwn_pluto_mappluto.shtml,BYTES of the BIG APPLE - New York City Department of City Planning,1114,1438,242.4
Aug-15,http://www.nyc.gov/html/dep/html/air/air_code_related_forms.shtml,Air Permitting Forms and Instructions,1114,1716,285.27
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_063.shtml,NYPD - Precincts,1111,1337,111.63
Aug-15,http://www.nyc.gov/html/doi/html/contact/inspectors.shtml,Inspectors General Offices - Contact DOI - Department of Investigation,1108,1347,225.29
Aug-15,http://www.nyc.gov/html/nypd/html/training_nypd/scholarship_unit_.shtml,"NYC.gov - City Information, Services and Programs",1107,1272,139.38
Aug-15,http://www1.nyc.gov/assets/finance/jump/water_sewage.html,Redirect to Water and Sewage History,1107,1325,203.88
Aug-15,http://www.nyc.gov/html/kcpa/html/home/home.shtml,Kings County Public Administrator,1105,1673,63.98
Aug-15,http://www.nyc.gov/html/dycd/html/jobs/ladders.shtml,DYCD - Jobs & Internships - NYC Ladders for Leaders,1104,1262,108.49
Aug-15,http://www.nyc.gov/html/vets/html/home/home.shtml,Mayor's Office of Veteran's,1104,1696,64.72
Aug-15,http://www.nyc.gov/html/tlc/html/passenger/lost.shtml,NYC Taxi & Limousine Commission - Lost and Found,1104,1522,76.180000000000007
Aug-15,http://www1.nyc.gov/nyc-resources/categories/housing-development/building-management-resources/,Building Management Resources | City of New York,1103,1516,54.88
Aug-15,http://www1.nyc.gov/nyc-resources/categories/housing-development/building-construction-professional-resources/,Building & Construction Professional Resources | City of New York,1102,1542,52.57
Aug-15,http://www1.nyc.gov/site/dca/businesses/license-checklist-process-server-individual.page,license-checklist-process-server--individual,1101,1627,230.58
Aug-15,http://www.nyc.gov/html/mocs/html/home/home.shtml,Mayor's Office of Contract Services,1101,1551,68.39
Aug-15,http://www.nyc.gov/html/law/html/careers/recent-graduates.shtml,New York City Law Department - Careers - Recent Graduates,1099,1660,30.9
Aug-15,http://www1.nyc.gov/nyc-resources/faq/500/what-are-alternate-side-parking-asp-and-street-cleaning-rules,"What are alternate side parking, ASP, and street cleaning rules? | City of New York",1098,1313,36.51
Aug-15,http://www.nyc.gov/html/dot/html/about/dotlibrary.shtml,NYC DOT - DOT Library,1098,1586,134.08000000000001
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_024.shtml,NYPD - Precincts,1098,1306,78.099999999999994
Aug-15,http://www.nyc.gov/html/dot/html/infrastructure/sidewalks.shtml,NYC DOT - Sidewalk Maintenance and Repair,1098,1769,56.65
Aug-15,http://www.nyc.gov/html/brt/html/routes/125th-laguardia.shtml,Bus Rapid Transit - 125th–LaGuardia Airport,1097,1355,152.07
Aug-15,http://www1.nyc.gov/site/olr/nyceira/nyceirahome.page,nyceirahome,1096,1597,62.82
Aug-15,http://www.nyc.gov/html/sbs/wf1/html/develop/NYCCEP.shtml,Workforce1 - NYC Craft Entrepreneurship Program,1096,1341,77.69
Aug-15,http://www1.nyc.gov/site/finance/taxes/personal-income-tax-and-non-resident-employees.page,personal-income-tax-and-non-resident-employees,1096,1299,118.18
Aug-15,http://www1.nyc.gov/nyc-resources/faq/340/how-do-i-check-if-a-building-has-bed-bug-complaints,How do I check if a building has bed bug complaints? | City of New York,1095,2113,26.11
Aug-15,http://www.nyc.gov/html/doh/html/living/childcare-parents.shtml,Child Care,1094,1471,128.51
Aug-15,http://www1.nyc.gov/nyc-resources/service/1043/buses-subways-and-railroads,"Buses, Subways, and Railroads | City of New York",1093,1434,177.39
Aug-15,http://www1.nyc.gov/site/nycha/about/news.page,NYCHA - News,1093,1536,32.049999999999997
Aug-15,http://www1.nyc.gov/nyc-resources/service/1619/event-calendar,Event Calendar | City of New York,1093,1462,18.329999999999998
Aug-15,http://www.nyc.gov/html/doh/html/mental/housing-services.shtml,Housing Services/Supportive Housing,1092,1567,179.3
Aug-15,http://www.nyc.gov/html/tlc/html/industry/vehicle_insurance_info.shtml,NYC Taxi & Limousine Commission - Vehicle Insurance Information,1092,1476,151.74
Aug-15,http://www.nyc.gov/html/weareny/html/episodes/episodes.shtml,We Are NY - Episodes & Resources,1091,1911,85.73
Aug-15,http://www1.nyc.gov/site/dca/businesses/license-checklist-home-improvement-salesperson.page,license-checklist-home-improvement-salesperson,1091,1867,176.1
Aug-15,http://www.nyc.gov/html/dcas/html/employees/psbtoc.shtml,DCAS - For City Employees - NYC Personnel Services Bulletins (PSBs),1090,2360,154.71
Aug-15,http://www1.nyc.gov/nyc-resources/service/1522/disability-rent-increase-exemption-drie-program,Disability Rent Increase Exemption (DRIE) Program | City of New York,1089,1561,85.75
Aug-15,http://www.nyc.gov/html/dfta/html/contact/contact.shtml,Department for the Aging - Contact DFTA,1087,1611,80.2
Aug-15,http://www.nyc.gov/html/dycd/html/jobs/osy.shtml,DYCD - Jobs & Internships - Out-of-School Youth (OSY) Program,1086,1393,61.21
Aug-15,http://www.nyc.gov/html/fund/html/home/home.shtml,Mayor's Fund to Advance New York City,1086,1658,80.17
Aug-15,http://www.nyc.gov/html/lpc/html/about/about.shtml,LPC - About the Landmarks Preservation Commission,1083,1330,40.24
Aug-15,http://www.nyc.gov/html/nypd/html/firearms_licensing/handgun_licensing_application.shtml,NYPD - Firearms Licenses,1083,1275,234.74
Aug-15,http://www1.nyc.gov/site/finance/vehicles/dispute-already-paid-dismissed.page,Already Paid or Dismissed Tickets,1083,1265,48.47
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_111.shtml,NYPD - Precincts,1081,1285,77
Aug-15,http://www.nyc.gov/html/girls/html/issues/issues.shtml,NYC Girl's Project - The Issues,1080,1236,221.44
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_094.shtml,NYPD - Precincts,1079,1255,81.08
Aug-15,http://www.nyc.gov/html/opa/html/taxes/w2.shtml,Office of Payroll Administration,1077,1448,146.88
Aug-15,http://www.nyc.gov/html/cchr/html/coverage/law-coverage.shtml,Commission on Human Rights - What the Law Covers,1077,1505,60.39
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_100.shtml,NYPD - Precincts,1076,1262,88.74
Aug-15,http://www1.nyc.gov/nyc-resources/service/3082/citypay,CityPay | City of New York,1076,1403,123.68
Aug-15,http://www.nyc.gov/html/doc/html/job/job_opp_civil_engin.shtml,Civilian Opportunities - Job Opportunities - Department of Correction,1076,1327,23.15
Aug-15,http://www1.nyc.gov/nycbusiness/description/temporary-food-service-establishment-permit,"Business | City of New York, Temporary Food Service Establishment Permit,Fairs, Festivals, Special Events, Street Fairs",1075,1317,65.98
Aug-15,http://www1.nyc.gov/site/finance/taxes/property-other-agency-charges.page,property-other-agency-charges,1074,1246,33.61
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_033.shtml,NYPD - Precincts,1072,1246,78.349999999999994
Aug-15,http://www.nyc.gov/html/doh/html/environmental/smoke-law.shtml,Smoking and Tobacco Control Laws,1072,1497,144.13
Aug-15,http://www.nyc.gov/html/doh/html/living/clinics.shtml,Low- to No-Cost Confidential Clinics,1071,1729,46.11
Aug-15,http://www1.nyc.gov/site/mocs/,Mayor's Office of Contract Services,1071,1769,47.59
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_062.shtml,NYPD - Precincts,1070,1263,104.09
Aug-15,http://www.nyc.gov/html/dep/html/asbestos/asbestos_abatement.shtml,Construction and Demolition Abatement,1066,1479,108.32
Aug-15,http://www.nyc.gov/html/nypd/html/home/rewards.shtml,NYPD - Rewards,1066,1234,86.35
Aug-15,http://www1.nyc.gov/site/nycha/about/policies-procedures.page,NYCHA - Policies Procedures,1066,1626,42.9
Aug-15,http://www1.nyc.gov/site/finance/taxes/property-payment-plans.page,property-payment-plans,1066,1314,35.01
Aug-15,http://www.nyc.gov/html/olr/html/about/about_olr.shtml,Office of Labor Relations,1065,1392,38.369999999999997
Aug-15,http://www.nyc.gov/html/acs/html/child_safety/child_safety.shtml,Child Safety,1064,1377,63.03
Aug-15,http://www1.nyc.gov/site/dsny/resources/initiatives/nyc-organics-collection.page,NYC Organics Collection,1062,1643,94.46
Aug-15,http://www.nyc.gov/html/dcas/html/work/program_info.shtml,DCAS - Work for the City - The Urban Fellows Program ~ Program Information,1061,1343,107.24
Aug-15,http://www1.nyc.gov/nyc-resources/service/1270/building-construction-complaint,Building Construction Complaint | City of New York,1060,1561,54.82
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_022.shtml,NYPD - Precincts,1060,1223,78.47
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_076.shtml,NYPD - Precincts,1060,1296,86.54
Aug-15,http://www1.nyc.gov/site/finance/about/divisions.page,Divisions - Department of Finance,1057,1284,89.9
Aug-15,http://www.nyc.gov/html/dep/html/about_dep/bureaus.shtml,DEP Offices,1054,1476,105.53
Aug-15,http://www1.nyc.gov/site/floodmaps/maps/overview.page,Overview,1052,1575,30.82
Aug-15,http://www.nyc.gov/html/dhs/html/prevention/prevention.shtml,DHS - Prevention,1052,1344,48.77
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_032.shtml,NYPD - Precincts,1051,1246,102.8
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_066.shtml,NYPD - Precincts,1051,1246,104.93
Aug-15,http://www.nyc.gov/html/dep/html/businesses/pact_bid_estimates.shtml,Upcoming Bids,1050,1525,71.319999999999993
Aug-15,http://www.nyc.gov/html/dob/html/development/lic_test_info.shtml,Department of Buildings,1050,1483,43.2
Aug-15,http://www.nyc.gov/html/greenyc/html/campaign/take-pledge.shtml,GreeNYC - Take the Pledge,1050,1459,89.27
Aug-15,http://www.nyc.gov/html/nypd/html/crime_prevention/counterterrorism.shtml,NYPD - Crime Prevention,1049,1311,43.38
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_049.shtml,NYPD - Precincts,1048,1238,88.86
Aug-15,http://www.nyc.gov/html/opa/html/forms/forms.shtml,Office of Payroll Administration,1046,1499,122.24
Aug-15,http://www1.nyc.gov/nyc-resources/service/2031/missed-garbage-recycling-or-organics-collection,"Missed Garbage, Recycling or Organics Collection | City of New York",1045,1374,83
Aug-15,http://www.nyc.gov/html/doc/html/inmate-information/post-bail.shtml,City of New York Department of Correction,1045,1361,115.82
Aug-15,http://www1.nyc.gov/nyc-resources/categories/business/consumer-assistance/,Consumer Assistance | City of New York,1044,1403,63.93
Aug-15,http://www.nyc.gov/html/dep/html/forms_and_permits/water_sewer.shtml,Water & Sewer Forms,1044,1797,41.13
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_048.shtml,NYPD - Precincts,1043,1219,87.35
Aug-15,http://www1.nyc.gov/booker/service/nyc-resources/service/3582/speed-camera-violations,311 Booker: Speed Camera Violations,1042,1227,16.71
Aug-15,http://www.nyc.gov/html/dep/html/customer_services/meter.shtml,How you are billed,1042,1316,71.58
Aug-15,http://www.nyc.gov/html/doh/html/career/new-hire.shtml,New Hire Processing Forms,1042,3490,67.17
Aug-15,http://www.nyc.gov/html/dcp/html/pub/publist.shtml,Publications - New York City Department of City Planning,1042,1665,77.8
Aug-15,http://www.nyc.gov/html/fdny/html/community/2012_ff_tutorials.shtml,FDNY,1041,1162,113.93
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_088.shtml,NYPD - Precincts,1040,1242,82.94
Aug-15,http://www1.nyc.gov/nycbusiness/description/certificate-of-assumed-name--doing-business-as-for-sole-proprietorships,"Business | City of New York, Certificate of Assumed Name / Doing Business As for Sole Proprietorships,Sole proprietorship, assumed name, sole proprietor, DBA",1040,1245,270.62
Aug-15,http://www1.nyc.gov/nyc-resources/faq/496/is-there-a-parking-meter-muni-meter-parking-map,Is there a parking meter (Muni-Meter) parking map? | City of New York,1038,1874,72.27
Aug-15,http://www1.nyc.gov/site/dsny/recycling-and-garbage/residents/organics-collection-in-houses-and-small-buildings-1-9-units.page,organics-collection-in-houses-and-small-buildings-1-9-units,1037,1422,94.68
Aug-15,http://www.nyc.gov/html/doh/html/hcp/hcp-reporting.shtml,Reporting Diseases and Conditions,1036,1322,148.25
Aug-15,http://www.nyc.gov/html/doc/html/inmate-information/schedule-pickup-inmate-property.shtml,City of New York Department of Correction,1035,1290,134.80000000000001
Aug-15,http://www1.nyc.gov/site/olr/health/retiree/health-retiree-responsibilities-assistance.page,health-retiree-responsibilities,1034,1797,44.38
Aug-15,http://www.nyc.gov/html/nypd/html/training_nypd/recruit_training_.shtml,"NYC.gov - City Information, Services and Programs",1034,1178,51.51
Aug-15,http://www.nyc.gov/html/doh/html/living/prep-pep-resources.shtml,PrEP & PEP: Resources,1034,1293,224.44
Aug-15,http://www.nyc.gov/html/records/html/archives/death.shtml,Department of Records - Municipal Archives - Death Certificate,1034,1398,137.28
Aug-15,http://www1.nyc.gov/site/finance/taxes/property-overdue-balances-late-payments.page,property-overdue-balances-late-payments,1029,1298,16.73
Aug-15,http://www.nyc.gov/html/dob/html/development/cons_super_reg_guide.shtml,Department of Buildings,1029,1604,198.61
Aug-15,http://www1.nyc.gov/site/finance/taxes/business-hotel-room-occupancy-tax.page,business-hotel-room-occupancy-tax,1027,1225,143.54
Aug-15,http://www1.nyc.gov/nyc-resources/service/2096/noise-from-large-party-or-large-crowd,Noise from Large Party or Large Crowd | City of New York,1026,1393,34.25
Aug-15,http://www.nyc.gov/html/taxcomm/html/home/home.shtml,Tax Commission - Home,1024,1310,44.51
Aug-15,http://www.nyc.gov/html/dcp/html/zone/zh_manudistricts.shtml,NYC Zoning - Zoning Districts,1023,1501,68.08
Aug-15,http://www.nyc.gov/html/dob/html/development/development_hub.shtml,Department of Buildings,1021,1375,220.85
Aug-15,http://www.nyc.gov/html/sbs/html/procurement/mwbe.shtml,SBS - Selling to Government,1021,1256,167.26
Aug-15,http://www1.nyc.gov/site/dsny/recycling-and-garbage/residents/paint.page,paint,1019,1280,67.84
Aug-15,http://www.nyc.gov/html/law/html/contact/telephone-email-directory.shtml,"NYC.gov - City Information, Services and Programs",1018,1292,138.84
Aug-15,http://www.nyc.gov/html/nypd/html/home/poa_cops.shtml,NYPD – Officers are New York City’s Finest,1017,1127,89.79
Aug-15,http://www.nyc.gov/html/dhs/html/contact/linc-forum.shtml,DHS - LINC,1016,1392,188.29
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_110.shtml,NYPD - Precincts,1015,1198,102.39
Aug-15,http://www.nyc.gov/html/doi/html/report/complaint.shtml,File a Report/Complaint - Report Corruption - Department of Investigation,1015,1438,97.88
Aug-15,http://www.nyc.gov/html/nycppf/html/important_dates/important_dates.shtml,Important Dates - New York City Police Pension Fund,1012,1206,55.28
Aug-15,http://www.nyc.gov/html/lpc/html/forms/forms.shtml,LPC - Forms,1011,1860,166.36
Aug-15,http://www.nyc.gov/html/dcp/html/zone/zh_r3-1.shtml,NYC Zoning - Zoning Districts,1010,1479,83.6
Aug-15,http://www.nyc.gov/html/doh/html/pr2015/pr033-15.shtml,"Health Department Reports First Human Case of West Nile Virus Infection for 2015 Season: Patient Hospitalized, Treated, and Discharged",1010,1229,139.58000000000001
Aug-15,http://www.nyc.gov/html/cecm/html/office/permits.shtml,CECM - Street Activity Permit Office (SAPO) - SAPO Permit Applications,1008,1516,146.13
Aug-15,http://www.nyc.gov/html/dob/html/development/forms_online_boiler_appt.shtml,Department of Buildings,1005,1418,343.04
Aug-15,http://www.nyc.gov/html/opa/html/glossary/glossary.shtml,Office of Payroll Administration,1004,1258,109.29
Aug-15,http://www1.nyc.gov/site/hpd/section-8/tenants.page,HPD - Section 8 - Tenants,1003,1493,62.3
Aug-15,http://www.nyc.gov/html/records/html/about/visiting.shtml,Department of Records - About Records - Visit Records,1003,1245,82.05
Aug-15,http://www.nyc.gov/html/dhs/html/LINC-Rental-Subsidies/LINC-Rental-Assistance-Program-Friends_Family_Packet.shtml,LINC Rental Assistance Program - Friends and Family Packet,1003,1848,100.36
Aug-15,http://www1.nyc.gov/site/finance/about/contact-by-email/contact-online-parking-ticket-camera-violation-refund-form.page,Parking / Camera Violation Refunds,1002,1411,155.91
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_121.shtml,NYPD - Precincts,1001,1170,101.59
Aug-15,http://www1.nyc.gov/site/hpd/renters/harassment.page,harassment,1001,1276,193.68
Aug-15,http://www.nyc.gov/html/ceo/html/home/home.shtml,NYC Center for Economic Opportunity,997,1385,63.57
Aug-15,http://www.nyc.gov/html/dob/html/news/op98_rejections.shtml,Department of Buildings - OP98 Rejections Notices and Results,996,1192,252.98
Aug-15,http://www1.nyc.gov/nyc-resources/categories/culture-recreation/parks-nature/,Parks & Nature | City of New York,995,1280,27.62
Aug-15,http://www.nyc.gov/html/dcp/html/census/pop_facts.shtml,Population - New York City Department of City Planning,994,1085,343.61
Aug-15,http://www.nyc.gov/html/nypd/html/precincts/precinct_081.shtml,NYPD - Precincts,994,1161,109.38
Aug-15,http://www.nyc.gov/html/dfta/html/services/case-management.shtml,Department for the Aging - Case Management Service,994,1486,131.62
Aug-15,http://www.nyc.gov/html/sbs/wf1/html/about/transportation.shtml,"Workforce1 - Recruiting, Training, and Connecting Candidates to Jobs",994,1218,134.26
Aug-15,http://www1.nyc.gov/nyc-resources/service/1006/adult-education-programs,Adult Education Programs | City of New York,993,1305,147.9
Aug-15,http://www.nyc.gov/html/acs/html/statistics/statistics_links.shtml,Statistics and Links,991,1206,131.5
Aug-15,http://www1.nyc.gov/SITE/FLOOdmaps/MAPS/YOUr-risk.page,Your Risk,784,1318,114.86
Aug-15,http://www1.nyc.gov/site/dca/businesses/licenses-update-information.page,DCA - Businesses - Licenses - Update Information,991,1587,136.11000000000001
Aug-15,http://www.nyc.gov/html/dcas/html/business/surplus.shtml,DCAS - Doing Business with the City - City Surplus,991,1570,64.94
Aug-15,http://www1.nyc.gov/office-of-the-mayor/news/570-15/mayor-de-blasio-city-task-force-curb-topless-individuals-costumed-characters-times,"Mayor de Blasio Announces City Task Force to Curb Topless Individuals, Costumed Characters | City of New York",991,1040,233.26
